var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,N/A,0.240496,3.21712,0.414968,1.01016,1.29303
int,1000000,40duplicates,N/A,0.452186,6.05699,0.921332,2.59812,2.46616
int,100000,40duplicates,N/A,0.0392504,0.581248,0.0846213,0.189248,0.208183
int,10000,40duplicates,N/A,0.00325553,0.0647253,0.00493759,0.022527,0.0271688
int,50000,sorted,N/A,0.0226665,0.357763,0.00870484,0.100246,0.0930155
int,50000,20duplicates,N/A,0.0190565,0.335781,0.0295398,0.0859417,0.0970946
int,5000,noDuplicates,N/A,0.00175315,0.0268283,0.00191845,0.00702909,0.00788789
int,500000,sorted,N/A,0.156807,2.87981,0.109362,1.11115,1.0456
int,500000,60sorted,N/A,0.178468,2.91547,0.211452,1.0428,1.01426
int,10000,60sorted,N/A,0.00278878,0.0501343,0.00241673,0.0139944,0.0154438
int,1000000,noDuplicates,N/A,0.442128,5.93593,0.974682,2.31564,2.76736
int,1000000,20duplicates,N/A,0.4606,7.20148,0.995512,2.47731,2.53468
int,50000,noDuplicates,N/A,0.0180454,0.314565,0.0293368,0.0880019,0.0938987
int,5000,60sorted,N/A,0.0012607,0.0246066,0.00106318,0.00645638,0.00717363
int,5000,sorted,N/A,0.00101775,0.024496,0.000674496,0.00653222,0.00639237
int,100000,20duplicates,N/A,0.0366778,0.620657,0.0634412,0.183942,0.223572
int,50000,60sorted,N/A,0.0143465,0.267249,0.0167128,0.0868394,0.089678
int,10000,noDuplicates,N/A,0.00359969,0.068493,0.00542985,0.0223369,0.025788
int,500000,20duplicates,N/A,0.22271,3.06026,0.451787,1.01835,1.12711
int,500000,40duplicates,N/A,0.213357,2.88491,0.420331,1.04295,1.11939
int,1000000,sorted,N/A,0.285403,5.92607,0.229694,2.08499,2.01835
int,5000,20duplicates,N/A,0.00155674,0.0250078,0.00183811,0.00689649,0.00771693
int,100000,noDuplicates,N/A,0.0372627,0.565366,0.0648509,0.186616,0.19928
int,50000,40duplicates,N/A,0.0192262,0.275188,0.0285399,0.0849761,0.0939474
int,10000,20duplicates,N/A,0.00324499,0.0515466,0.00426834,0.0143928,0.0162811
int,100000,sorted,N/A,0.0300484,0.542271,0.0199679,0.167785,0.177615
int,100000,60sorted,N/A,0.0310579,0.541517,0.0361591,0.186526,0.179913
int,10000,sorted,N/A,0.00270415,0.0495794,0.00147384,0.0135147,0.0142803
int,5000,40duplicates,N/A,0.00153033,0.0251357,0.00198587,0.0069017,0.0108585
int,1000000,60sorted,N/A,0.381554,5.88911,0.472755,2.24761,2.3034
string,50000,sorted,N/A,0.111004,0.443701,0.0959111,0.233423,0.227012
string,500000,20duplicates,N/A,1.56935,5.60218,3.93156,3.17626,4.06863
string,50000,20duplicates,N/A,0.127776,0.544202,0.262437,0.292556,0.332593
string,10000,40duplicates,N/A,0.0209471,0.091542,0.0356992,0.0484816,0.0618705
string,10000,60sorted,N/A,0.0203052,0.0863509,0.0360215,0.0386222,0.0430992
string,100000,sorted,N/A,0.249416,0.921636,0.235145,0.499052,0.473249
string,5000,40duplicates,N/A,0.0093732,0.0425775,0.0153686,0.0200623,0.0299413
string,500000,60sorted,N/A,1.4733,5.16277,3.47983,3.18194,3.34093
string,50000,noDuplicates,N/A,0.11866,0.533653,0.270574,0.248229,0.327682
string,500000,40duplicates,N/A,1.68952,5.42286,4.116,3.41966,3.9741
string,5000,20duplicates,N/A,0.00901741,0.0445931,0.0154437,0.019126,0.0251726
string,100000,noDuplicates,N/A,0.27607,1.0501,0.585923,0.536098,0.703209
string,5000,noDuplicates,N/A,0.00969766,0.0453132,0.0159194,0.0196525,0.0249732
string,100000,60sorted,N/A,0.250456,0.95289,0.560752,0.548515,0.570991
string,1000000,20duplicates,N/A,3.22827,11.4494,9.37839,6.76772,8.24744
string,10000,noDuplicates,N/A,0.0244446,0.0938025,0.0388122,0.0436467,0.054489
string,1000000,noDuplicates,N/A,3.20118,11.3127,9.36475,6.5863,8.28991
string,1000000,sorted,N/A,3.0357,9.74386,2.49586,6.36315,5.7742
string,500000,noDuplicates,N/A,1.49263,5.4062,3.75706,2.99286,4.12529
string,100000,40duplicates,N/A,0.2824,1.04755,0.59333,0.533162,0.698129
string,5000,60sorted,N/A,0.00938433,0.0404481,0.0139889,0.0190108,0.0198758
string,1000000,60sorted,N/A,3.16014,10.3436,7.66302,6.65875,6.95926
string,5000,sorted,N/A,0.00923286,0.039994,0.00742385,0.0209777,0.0165135
string,100000,20duplicates,N/A,0.270458,1.03329,0.61764,0.685101,0.707434
string,10000,20duplicates,N/A,0.0198165,0.0917847,0.0362922,0.0408529,0.0557273
string,10000,sorted,N/A,0.0202236,0.080159,0.0163509,0.0407972,0.0531503
string,500000,sorted,N/A,1.33909,4.87174,1.20408,2.97129,2.74914
string,50000,40duplicates,N/A,0.126794,0.492619,0.273238,0.262834,0.331648
string,50000,60sorted,N/A,0.126587,0.452978,0.24933,0.25079,0.26491
string,1000000,40duplicates,N/A,3.28393,11.4433,8.90041,6.80492,8.3445
